Date,felonies,Composite_Crimes,ntweets,Pntweets,Nntweets,NeutralTweets,medianPtweets,medianntweets,NewProQ_PolBrut_MainPapers,ProQ_crimeNYC_lagged1,FractionPositive,FractionNegative,FractionNeutral
10/01/2010,601,"5,815",29,6,11,12,0.36045,-0.5859,0,18,0.206897,0.37931,0.413793
10/02/2010,428,"4,209",24,2,15,7,0.51385,-0.5423,1,18,0.083333,0.625,0.291667
10/03/2010,367,"3,712",35,2,17,16,0.3182,-0.4939,2,8,0.057143,0.485714,0.457143
10/04/2010,386,"4,047",39,9,15,15,0.4019,-0.6908,0,15,0.230769,0.384615,0.384615
10/05/2010,488,"4,985",48,6,25,17,0.5818,-0.5423,1,13,0.125,0.520833,0.354167
10/06/2010,446,"4,460",44,4,11,29,0.4019,-0.4404,1,13,0.090909,0.25,0.659091
10/07/2010,432,"4,431",35,4,14,17,0.3818,-0.6808,2,12,0.114286,0.4,0.485714
10/08/2010,480,"4,847",39,7,13,19,0.1027,-0.4019,1,11,0.179487,0.333333,0.487179
10/09/2010,435,"4,338",28,0,15,13,0,-0.4939,3,19,0,0.535714,0.464286
10/10/2010,366,"3,819",21,3,7,11,0.6667,-0.4404,1,17,0.142857,0.333333,0.52381
10/11/2010,351,"3,591",29,3,18,8,0.4585,-0.5859,1,13,0.103448,0.62069,0.275862
10/12/2010,469,"4,967",10,1,3,6,0.5248,-0.4404,0,9,0.1,0.3,0.6
10-13-2010,449,"4,794",15,1,7,7,0.2023,-0.296,0,17,0.066667,0.466667,0.466667
10-14-2010,422,"4,332",15,3,4,8,0.4019,-0.3767,1,15,0.2,0.266667,0.533333
10-15-2010,498,"4,991",14,4,5,5,0.4019,-0.4767,0,14,0.285714,0.357143,0.357143
10-16-2010,413,"4,238",13,4,6,3,0.52235,-0.5106,2,15,0.307692,0.461538,0.230769
10-17-2010,367,"3,872",35,2,16,17,0.59215,-0.5537,0,5,0.057143,0.457143,0.485714
10-18-2010,396,"4,248",23,6,14,3,0.4019,-0.3524,0,14,0.26087,0.608696,0.130435
10-19-2010,389,"4,024",14,2,5,7,0.45205,-0.4767,1,15,0.142857,0.357143,0.5
10-20-2010,476,"5,013",34,9,14,11,0.4939,-0.5836,0,12,0.264706,0.411765,0.323529
10-21-2010,442,"4,597",28,5,13,10,0.5267,-0.4019,1,22,0.178571,0.464286,0.357143
10-22-2010,482,4853.83,31,3,13,15,0.1027,-0.4767,0,12,0.096774,0.419355,0.483871
10-23-2010,444,"4,410",39,1,19,19,0.4215,-0.4939,1,15,0.025641,0.487179,0.487179
10-24-2010,392,"4,029",24,2,16,6,0.4215,-0.4767,0,11,0.083333,0.666667,0.25
10-25-2010,412,"4,301",29,3,15,11,0.5574,-0.4019,1,10,0.103448,0.517241,0.37931
10-26-2010,434,"4,357",53,8,18,27,0.5574,-0.3506,1,14,0.150943,0.339623,0.509434
