Date,Composite_Crimes_sa_det,NewProQ_PolBrut_MainPapers_sa_det_lagged1,Pntweets_sa_det,Nntweets_sa_det,medianPtweets_sa_det,medianntweets_sa_det,FractionPositive_sa_det,FractionNegative_sa_det,felonies_sa_det,ProQ_crimeNYC_lagged1_sa_det
10/01/2010,0.36163,-0.0317,1.29664,-6.2851,0.0532,-0.1027,0.028860605,-0.013858141,47.58,7.758563672
10/02/2010,-0.43131,0.1626,-0.97106,-1.3517,0.1158,-0.0552,-0.040154885,0.139827883,-53.76,3.908409409
10/03/2010,-0.52264,1.2428,4.84491,6.8064,-0.1735,0.0297,-0.053401834,0.040861084,-63.16,-0.933077291
10/04/2010,-0.18009,-0.7849,8.79801,-1.2033,-0.0352,-0.1592,0.063081734,-0.105410151,-28,3.481071966
10/05/2010,0.25976,1.1283,4.12213,14.4576,0.0658,-0.0671,-0.076626526,0.110371386,24.79,0.564144356
10/06/2010,-0.37773,1.0482,2.60857,10.7799,-0.0092,0.0462,-0.109034783,-0.062720052,-35.17,2.442654661
10/07/2010,-0.13787,1.3357,1.29262,14.914,-0.0022,-0.0836,-0.107854935,0.075653903,-18.37,-1.105718071
10/08/2010,-0.34885,0.8873,6.25053,8.8801,-0.1217,0.0648,-0.015061411,-0.017869853,-40.46,-0.705219544
10/09/2010,0.00152,1.3981,-1.78261,3.6901,-0.2352,-0.0201,-0.144973455,0.09692317,3.08,2.253783816
10/10/2010,0.0064,0.3808,0.39098,-11.4711,0.1206,0.019,0.035128507,-0.121268776,-13.23,9.2051503
10/11/2010,-0.61022,0.8146,-0.40228,2.2689,0.0535,0.0035,-0.081605369,0.099572972,-59.93,2.696921316
10/12/2010,0.23883,-0.0656,-3.50988,-4.3362,0.0012,0.0626,-0.085616498,0.013022055,9.68,0.767497786
10-13-2010,-0.24358,-0.3273,-3.14265,-12.5622,-0.2062,0.1479,-0.057452261,0.05936381,-42.26,4.723375668
10-14-2010,-0.00996,0.8099,-1.02245,-12.917,0.0263,0.0665,0.000840408,-0.095182563,-3.66,1.748901297
10-15-2010,-0.16917,0.0288,-0.14216,-9.3972,0.0461,-0.0436,0.089588817,0.005663122,-26.11,0.578529413
10-16-2010,-0.41168,1.5521,-1.16399,-13.1988,0.11,-0.0071,0.139079732,-0.04274682,-49.13,-1.72309047
10-17-2010,-0.16491,0.0994,-1.75098,9.4628,0.0935,-0.0425,-0.100394805,0.088701633,-31.87,-2.206364399
10-18-2010,-0.15074,0.632,-1.45062,3.9699,-0.0491,0.1876,0.008333993,0.172084492,-32.96,3.434672062
10-19-2010,-0.44193,0.2227,-5.08831,-11.5603,-0.001,0.0304,-0.040859212,0.017483326,-47.86,3.650818035
10-20-2010,0.04754,-0.2634,6.34542,-1.6969,0.0876,-0.0459,0.086737505,0.023893036,-6.68,1.83718055
10-21-2010,-0.12227,0.2653,1.13139,-6.1898,0.1408,0.0854,0.017890693,0.056135933,-24.59,6.399051033
10-22-2010,-0.25095,0.6428,-5.61462,-13.4194,-0.1544,0.0405,-0.062350756,0.005609537,-34.54,-0.021804045
10-23-2010,-0.06309,0.3965,2.42579,12.2726,0.0481,0.0619,-0.083722176,0.039926235,-0.02,0.495041119
10-24-2010,0.06543,-0.2405,-0.6321,-5.8645,-0.0467,0.0698,-0.05922742,0.146859609,10.88,2.209782403
10-25-2010,0.00831,1.1245,-1.7043,-2.8728,0.12,0.1471,-0.078700412,0.072008235,-6.02,0.47322116
10-26-2010,0.17337,0.3888,-0.41797,-4.2178,0.0387,0.0481,-0.031378262,0.029361717,23.88,0.880561
10-27-2010,0.11437,0.4281,-10.08461,-3.2388,-0.0716,0.0004,-0.019639617,0.024354562,7.4,3.963685894
10-28-2010,0.6104,0.6562,-0.84136,-10.8495,-0.1159,-0.0822,0.105058151,-0.012447427,50.7,-6.057878839
10-29-2010,0.18752,-0.0512,-1.25846,1.4834,-0.0189,-0.0373,-0.046623834,-0.013354012,14.95,6.821318421
10-30-2010,0.33004,-0.7754,-3.5638,-1.4751,-0.3149,0.0306,-0.098184629,0.063652202,15.99,6.111494034
10-31-2010,-0.26767,0.8514,-4.17748,-4.9972,-0.1052,-0.0459,-0.007057763,0.07380818,-20.36,-3.981494502
11/01/2010,-0.08889,0.6237,-0.52255,0.2371,-0.061,-0.0722,-0.024909108,-0.0120431,5.04,-1.297183159
11/02/2010,-0.74331,0.2098,-5.16607,-7.3894,-0.0452,0.1371,0.034566009,-0.000832271,-93.38,-6.171947333
11/03/2010,-0.10501,0.5901,-2.4742,3.7443,0.2214,0.0747,-0.118404498,0.208260378,-33.42,-6.994576842
11/04/2010,-0.33031,-0.9079,1.10364,-4.7616,0.1293,0.0132,-0.022866856,0.036971309,-32.13,-6.419871357
11/05/2010,0.0233,0.1496,2.56531,29.2539,0.0608,0.1586,-0.095185061,0.220880485,-6.21,-1.831359779
11/06/2010,-0.27165,-0.7903,0.74538,1.3765,0.1874,0.0799,0.012588664,0.041583967,-23.59,-1.596639465
11/07/2010,-0.01029,0.0212,2.40164,7.551,-0.0356,0.044,0.019900998,0.021285929,-8.83,0.689237228
11/08/2010,0.05785,-0.4142,-2.64642,-0.4135,-0.0097,-0.0294,-0.032114371,0.010361489,-13.07,-3.703796333
11/09/2010,-0.02042,0.5118,1.62217,6.2318,0.0136,-0.0239,-0.02197188,0.111862924,-4.89,3.525143364
11/10/2010,-0.16086,0.3194,4.13143,-0.1886,0.0032,0.0048,0.062963898,0.012141006,-16.38,1.005064749
11/11/2010,-0.49653,1.145,-2.78428,5.118,-0.1623,0.0162,-0.090809687,0.092698046,-46.56,-2.006093796
11/12/2010,0.22264,0.7191,-3.72733,-6.3656,-0.003,-0.0272,-0.062783954,-0.000837767,18.35,-3.383049422
11-13-2010,0.22454,1.2853,1.17552,1.698,0.025,0.002,-0.013159179,0.093750486,12.24,-3.495585136
11-14-2010,0.13786,0.0762,-4.11084,3.4687,-0.0103,-0.0197,-0.107856609,0.082516856,17.26,0.349590928
11-15-2010,0.04439,0.2429,-4.79451,-5.4925,-0.2345,0.0194,-0.061200526,0.039977179,2.69,1.55984724
11-16-2010,-0.21424,0.094,2.34956,-4.3063,-0.0934,-0.0545,-0.000333489,-0.018820278,-27.61,-1.30430835
