,Ref_Date,felonies,Composite_Crimes,Pntweets,Nntweets,Police_Brutality_lagged,felonies_sa_det,Composite_Crimes_sa_det,Pntweets_sa_det,Nntweets_sa_det,Police_Brutality_lagged_sa_det
0,10/01/2010,601,5814.87,3,8,0,72.44652831,598.6687817,-1.133142838,-3.842260187,-1.796560151
1,10/02/2010,428,4208.81,0,18,0,-28.22536626,-187.9816603,-0.880415576,2.899405543,-1.287887096
2,10/03/2010,367,3711.89,1,21,0,-37.60885269,-280.8273861,1.393594805,9.947115291,-1.982156588
3,10/04/2010,386,4047.3,2,19,1,-3.539847498,55.30357201,2.82337141,10.49088429,0.250475705
4,10/05/2010,488,4985.24,1,24,0,49.09481131,494.8919966,1.343676742,18.6008888,-0.719656922
5,10/06/2010,446,4459.54,1,15,0,-11.06050041,-148.2491208,-0.389545312,17.90229281,-1.374514804
6,10/07/2010,432,4430.64,0,10,0,6.107728876,96.16569016,-0.880610539,21.07684766,-1.017186245
7,10/08/2010,480,4847.02,2,18,0,-14.8754187,-105.0252513,1.250825585,16.95710732,-0.442830168
8,10/09/2010,435,4338.06,0,12,0,28.19003708,241.7665545,-1.159518595,4.666308064,0.001344834
9,10/10/2010,366,3819.46,2,11,0,11.06803932,238.663103,1.477156067,-1.707205436,-0.126533938
10,10/11/2010,351,3590.87,1,12,0,-35.54157535,-376.3980284,1.217960885,0.898952481,-1.097182071
11,10/12/2010,469,4966.53,1,3,0,34.49290379,475.1205261,-0.718944779,-4.344741882,-1.294350884
12,10-13-2010,449,4794.18,0,2,1,-17.90750526,-10.33520778,-1.276244814,-10.51340911,0.666136729
13,10-14-2010,422,4332.13,2,5,2,20.55486255,224.2328196,1.403737638,-10.65170186,0.050323263
14,10-15-2010,498,4990.59,2,5,0,-1.604671181,65.17731328,-0.379424987,-10.90424814,0.202132651
15,10-16-2010,413,4237.66,2,1,0,-24.81338558,-179.4532069,-0.392431676,-17.41152323,-0.13587617
16,10-17-2010,367,3872.43,2,17,1,-6.990430415,70.26722404,0.013177675,7.472669,0.420795722
17,10-18-2010,396,4247.91,2,5,1,-8.49877971,85.19978277,-1.487262444,1.487966507,-0.639453655
18,10-19-2010,389,4023.67,1,7,0,-22.73536694,-201.776756,1.404550952,-10.59381093,-1.533849112
19,10-20-2010,476,5013.37,0,19,0,17.24324834,275.4873027,-0.669363628,7.615288053,-0.944816131
20,10-21-2010,442,4596.76,3,10,1,-0.224446539,113.9897996,2.512627989,-5.166824222,-0.257804988
21,10-22-2010,482,4853.83,3,13,2,-11.16606479,-24.31170558,-0.084528012,-7.389286355,1.184544359
22,10-23-2010,444,4409.74,1,11,0,24.81316322,175.1354395,2.215101858,9.940705348,-1.409392901
23,10-24-2010,392,4029.24,1,13,0,36.28632987,308.4766151,-0.097067804,-2.010503799,-1.598033854
24,10-25-2010,412,4301.32,0,11,2,18.94541612,248.4427561,0.488931064,-3.246432245,0.66251833
25,10-26-2010,434,4356.77,0,20,1,47.31694239,396.2336642,-2.045085173,-1.667219675,-0.29128653
26,10-27-2010,483,5082.98,4,17,1,32.1581901,350.1957779,1.682548291,-8.427897534,0.143222948
27,10-28-2010,487,5042.67,2,10,1,74.2511255,838.4970973,-2.745195877,-9.079085558,0.458478341
28,10-29-2010,483,4834.31,4,12,0,38.64773569,416.3680384,0.006083712,0.85949214,-1.44889313
29,10-30-2010,428,4538.86,1,10,0,39.95965852,560.5062968,-0.775332766,-2.320531443,-0.247373574
30,10-31-2010,381,3801.89,0,8,0,3.295802056,-41.46664588,-2.803908418,-4.609456807,0.607025109
31,11/01/2010,465,4505.78,2,13,0,30.18996151,152.6632744,-1.867821018,-1.17938546,-0.008334731
32,11/02/2010,399,4098.3,0,4,0,-68.08848662,-501.6340037,-4.263260364,-11.40514195,-0.307906618
33,11/03/2010,444,4698.32,2,13,1,-9.366790117,124.2337115,-5.033434573,5.505540005,0.223337414
34,11/04/2010,380,3870.69,2,6,1,-8.598683182,-101.564365,-1.084442181,-0.738008319,0.215925538
35,11/05/2010,485,4917.23,3,20,0,18.19896341,252.0481179,-0.525591493,26.99377714,-1.402001375
36,11/06/2010,410,4096.87,2,17,0,0.24326383,-39.59053738,-1.282508895,5.976277228,-0.341078692
37,11/07/2010,377,3968.48,1,9,0,14.02045208,214.4338033,0.543327432,0.47387057,-0.430785668
38,11/08/2010,384,4157.87,0,7,1,8.740166013,266.4615015,-1.109785895,3.672794799,0.158831796
39,11/09/2010,403,4207.55,0,20,3,22.37169615,244.2494255,-1.394291806,9.984042182,2.528098394
40,11/10/2010,443,4533.57,2,8,0,5.910633513,51.17177423,1.42928703,3.045531856,-0.092075727
41,11/11/2010,377,3826.1,1,13,0,-22.62835572,-269.4818381,-2.585481166,0.520132016,-0.320763213
42,11/12/2010,506,5072.21,2,15,0,41.8872906,450.4131398,0.708917589,-5.111133475,0.176894193
43,11-13-2010,443,4618.63,1,18,0,35.81508774,450.2333223,-1.185431798,1.349397443,-0.075909927
44,11-14-2010,383,3817.58,1,10,0,40.97846953,364.710695,-2.656897501,-0.020646715,0.550651978
45,11-15-2010,435,4395.41,3,23,0,26.53999124,274.8784098,-2.55206848,-7.273573913,-0.638540259
46,11-16-2010,400,4151.79,6,15,0,-3.58801586,16.33734231,2.096756431,-5.464990802,-0.968237812
47,11-17-2010,464,4703.32,6,9,0,11.58775386,64.87746164,-0.311019842,-20.35993801,-0.169319431
48,11-18-2010,479,4868.81,3,24,1,95.76270401,963.9450289,-0.539778413,-2.957202641,0.090170014
49,11-19-2010,464,4554.09,1,20,2,-5.370349693,-97.8831642,0.337949447,11.29615762,0.612566029
50,11-20-2010,413,4032.83,2,24,0,-6.413864101,-256.723521,2.148032893,13.98554118,-0.372471348
51,11-21-2010,352,3672.59,4,12,0,-7.650976106,16.70990348,2.522432818,14.21612935,0.570564334
52,11-22-2010,424,4292.3,3,11,0,16.40061227,140.1616589,2.020151831,-5.139927999,-1.284313292
53,11-23-2010,415,4240.98,2,15,1,29.91971805,199.1204664,-1.154630684,-3.674757657,0.451666156
54,11-24-2010,455,4481.41,2,14,0,35.07776566,251.7850162,-2.046654052,5.78564095,0.194545316
55,11-25-2010,276,2756.37,1,3,0,-43.37400991,-469.8194518,-0.609226083,-6.8555397,-1.080675522
56,11-26-2010,427,4365.43,0,14,0,-9.92304872,-93.87093953,-7.791838544,-65.50907926,-0.518284085
57,11-27-2010,372,3958.25,1,9,0,-16.82659738,6.416011641,-4.047108991,-16.87614215,-0.002345963
58,11-28-2010,353,3603.64,0,3,0,41.75296195,428.3769967,-0.285685552,-0.779296355,-0.014940271
59,11-29-2010,398,4123.06,1,8,1,25.85446598,253.4220796,-0.431210729,12.86715489,0.506440644
60,11-30-2010,434,4608.85,4,19,0,39.85606531,425.3039202,0.798395567,11.94043087,0.539328783
