,E,rho,taw,City
0,1.0,0.7213773425910246,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
1,2.0,0.6490248629382375,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
2,3.0,0.6549144868018822,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
3,4.0,0.6858707526122014,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
4,5.0,0.690344013928053,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
5,6.0,0.683344953762044,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
6,7.0,0.6910296937295811,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
7,8.0,0.6848520960069101,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
8,9.0,0.6985241811903308,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
9,10.0,0.6973864175665464,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
10,11.0,0.6993034884773968,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
11,12.0,0.7028826512009922,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
12,13.0,0.7078199219847217,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
13,14.0,0.708498863001707,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
14,15.0,0.7145533885180653,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
15,16.0,0.7187159888466401,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
16,17.0,0.7210638357201377,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
17,18.0,0.7178172691138791,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
18,19.0,0.7126701921362985,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
19,20.0,0.7104558890189614,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
0,1.0,0.7213773425910246,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
1,2.0,0.6751532897196026,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
2,3.0,0.681668801160183,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
3,4.0,0.6972902634070955,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
4,5.0,0.6907472552021252,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
5,6.0,0.6875902634280798,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
6,7.0,0.7009337685492572,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
7,8.0,0.7129048207883885,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
8,9.0,0.7139005612258973,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
9,10.0,0.7114640844760118,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
10,11.0,0.7144771825953351,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
11,12.0,0.7130041117791338,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
12,13.0,0.7117185219839461,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
13,14.0,0.7123474147649957,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
14,15.0,0.7147190981878896,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
15,16.0,0.7145654675001282,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
16,17.0,0.7094240004304032,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
17,18.0,0.7112476777946367,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
18,19.0,0.7123069096122954,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
19,20.0,0.7098294487955092,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
0,1.0,0.7213773425910246,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
1,2.0,0.7298384643451845,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
2,3.0,0.7186654211334489,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
3,4.0,0.7040850764860518,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
4,5.0,0.7299262410897536,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
5,6.0,0.7476543712420693,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
6,7.0,0.7470387496653598,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
7,8.0,0.7481809847038778,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
8,9.0,0.7491059410421173,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
9,10.0,0.7506220647595061,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
10,11.0,0.7497083194070462,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
