,E,rho,taw,City
0,1,0.0389768,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
1,2,0.038149827,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
2,3,0.05765184,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
3,4,0.043773284,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
4,5,0.008097327,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
5,6,0.064609616,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
6,7,0.068492869,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
7,8,0.081996487,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
8,9,0.077621974,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
9,10,0.079540738,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
10,11,0.094508985,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
11,12,0.090534557,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
12,13,0.087264399,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
13,14,0.109010912,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
14,15,0.11542785,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
15,16,0.127230852,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
16,17,0.11310824,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
17,18,0.112679757,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
18,19,0.118425389,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
19,20,0.119920738,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
0,1,0.0389768,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
1,2,0.067469005,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
2,3,0.035974296,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
3,4,0.039752081,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
4,5,0.042371726,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
5,6,0.062950281,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
6,7,0.065421608,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
7,8,0.104878832,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
8,9,0.126253319,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
9,10,0.099904306,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
10,11,0.106206018,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
11,12,0.088793733,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
12,13,0.08714947,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
13,14,0.101975231,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
14,15,0.110328767,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
15,16,0.105909001,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
16,17,0.127476577,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
17,18,0.158018619,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
18,19,0.148493432,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
19,20,0.150429301,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
0,1,0.0389768,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
1,2,0.036724133,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
2,3,0.086833819,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
3,4,0.080882763,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
4,5,0.065763873,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
5,6,0.084951458,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
6,7,0.082647557,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
7,8,0.078950802,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
8,9,0.06664992,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
9,10,0.092610745,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
10,11,0.092726,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
11,12,0.095335804,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
12,13,0.092903667,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
13,14,0.088656241,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
14,15,0.098379819,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
15,16,0.082587122,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
16,17,0.099028447,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
17,18,0.099582356,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
18,19,0.113832777,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
19,20,0.112416599,Tau=3,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
0,1,0.0389768,Tau=4,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
1,2,0.008150505,Tau=4,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
2,3,0.007405704,Tau=4,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
3,4,-0.033585119,Tau=4,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
4,5,0.047035096,Tau=4,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
5,6,0.038504575,Tau=4,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
6,7,0.012195541,Tau=4,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
7,8,0.025713173,Tau=4,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
8,9,0.066824009,Tau=4,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
9,10,0.047728941,Tau=4,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
10,11,0.083902883,Tau=4,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
11,12,0.095922772,Tau=4,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
12,13,0.101336302,Tau=4,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
13,14,0.119984241,Tau=4,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
14,15,0.114421822,Tau=4,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
15,16,0.115608922,Tau=4,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
16,17,0.10735815,Tau=4,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
17,18,0.132750477,Tau=4,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
18,19,0.142959116,Tau=4,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
19,20,0.155781582,Tau=4,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
0,1,0.0389768,Tau=5,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
1,2,0.007483386,Tau=5,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
2,3,-0.016333674,Tau=5,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
3,4,-0.012878263,Tau=5,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
4,5,0.017427943,Tau=5,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
5,6,0.03865219,Tau=5,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
6,7,0.045266104,Tau=5,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
