,E,rho,taw,City
0,1.0,0.724807798670698,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
1,2.0,0.6838978024731129,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
2,3.0,0.6628876780176857,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
3,4.0,0.7032011303927953,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
4,5.0,0.7090773569777955,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
5,6.0,0.7027354158871053,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
6,7.0,0.7033959106954014,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
7,8.0,0.7041436952566134,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
8,9.0,0.7220645531557597,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
9,10.0,0.7251200520979033,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
10,11.0,0.7290764912931166,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
11,12.0,0.7297673735961843,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
12,13.0,0.7321171462992979,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
13,14.0,0.7393294496354161,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
14,15.0,0.7430736416589672,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
15,16.0,0.7440161284591928,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
16,17.0,0.7428071438833111,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
17,18.0,0.7400365167772567,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
18,19.0,0.7382587115888171,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
19,20.0,0.7345060404427466,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
0,1.0,0.724807798670698,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
1,2.0,0.6951537235820606,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
2,3.0,0.7179026818905014,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
3,4.0,0.7073363611721649,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
4,5.0,0.7080812695854709,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
5,6.0,0.7183927794888976,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
6,7.0,0.7325906451233438,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
7,8.0,0.7420068396540109,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
8,9.0,0.7427592084063764,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
9,10.0,0.7399769084180676,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
10,11.0,0.7386221585420104,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
11,12.0,0.7417546128356,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
12,13.0,0.7399541254410885,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
13,14.0,0.7408361618918542,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
14,15.0,0.7439243812576098,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
15,16.0,0.74524067502224,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
