,E,rho,taw
0,1.0,0.6907476102602466,Tau=1
1,2.0,0.723346331635871,Tau=1
2,3.0,0.711111086743604,Tau=1
3,4.0,0.7239889466124286,Tau=1
4,5.0,0.7353991713630178,Tau=1
5,6.0,0.7413177419656509,Tau=1
6,7.0,0.7528773698143987,Tau=1
7,8.0,0.761077938502515,Tau=1
8,9.0,0.7705522155319908,Tau=1
9,10.0,0.77323565526741,Tau=1
10,11.0,0.7771995493326246,Tau=1
11,12.0,0.7801912569514373,Tau=1
12,13.0,0.7796534107039231,Tau=1
13,14.0,0.7801661280093051,Tau=1
14,15.0,0.7798654852663957,Tau=1
15,16.0,0.7795684683669958,Tau=1
16,17.0,0.7799960991414268,Tau=1
17,18.0,0.7762306482662183,Tau=1
18,19.0,0.7779107784663923,Tau=1
19,20.0,0.7758017507047714,Tau=1
0,1.0,0.6907476102602466,Tau=2
1,2.0,0.70080951081625,Tau=2
2,3.0,0.7143968381376502,Tau=2
3,4.0,0.7344331237696408,Tau=2
4,5.0,0.7466411272255878,Tau=2
5,6.0,0.7542672766833179,Tau=2
6,7.0,0.7599062099455662,Tau=2
7,8.0,0.7672703200995544,Tau=2
8,9.0,0.7678001603528236,Tau=2
9,10.0,0.7710258625146661,Tau=2
10,11.0,0.7740919125515983,Tau=2
11,12.0,0.7736224064205196,Tau=2
12,13.0,0.7735849548053012,Tau=2
13,14.0,0.7753029582303366,Tau=2
14,15.0,0.7753023844253096,Tau=2
15,16.0,0.779029320852676,Tau=2
16,17.0,0.7810171250100859,Tau=2
17,18.0,0.7846617462441228,Tau=2
18,19.0,0.7847025357244587,Tau=2
19,20.0,0.7853729530269526,Tau=2
0,1.0,0.6907476102602466,Tau=3
1,2.0,0.7258915428654572,Tau=3
2,3.0,0.7212931085350787,Tau=3
3,4.0,0.7274490511419981,Tau=3
4,5.0,0.7470790653303421,Tau=3
5,6.0,0.7596449877745514,Tau=3
6,7.0,0.7565285724820003,Tau=3
7,8.0,0.7626956849372205,Tau=3
8,9.0,0.7661679740080941,Tau=3
9,10.0,0.7730033455699599,Tau=3
10,11.0,0.7728520502924718,Tau=3
11,12.0,0.7744988340156029,Tau=3
12,13.0,0.7723279269570195,Tau=3
13,14.0,0.7726849106362113,Tau=3
14,15.0,0.77391134148168,Tau=3
15,16.0,0.7760824830428819,Tau=3
16,17.0,0.7770387556279684,Tau=3
17,18.0,0.7784813563016548,Tau=3
18,19.0,0.7775315968922261,Tau=3
19,20.0,0.7779052601629753,Tau=3
0,1.0,0.6907476102602466,Tau=4
1,2.0,0.6790310097228536,Tau=4
2,3.0,0.6928762174724746,Tau=4
3,4.0,0.7179367591473653,Tau=4
4,5.0,0.7234972302106703,Tau=4
5,6.0,0.7417927260734818,Tau=4
6,7.0,0.7522555010780024,Tau=4
7,8.0,0.7513509900461578,Tau=4
8,9.0,0.7497939377019975,Tau=4
9,10.0,0.7521371381524815,Tau=4
10,11.0,0.7567272160658363,Tau=4
11,12.0,0.7573066738618903,Tau=4
12,13.0,0.7606684277754017,Tau=4
13,14.0,0.7614540907775433,Tau=4
14,15.0,0.7652090772641552,Tau=4
15,16.0,0.7637943720966597,Tau=4
16,17.0,0.7657972385830989,Tau=4
17,18.0,0.7648407183901595,Tau=4
18,19.0,0.7667524376219945,Tau=4
19,20.0,0.765403082448173,Tau=4
0,1.0,0.6907476102602466,Tau=5
1,2.0,0.6717919919800921,Tau=5
2,3.0,0.71144793677428,Tau=5
3,4.0,0.7192872086394397,Tau=5
4,5.0,0.7208089710878716,Tau=5
5,6.0,0.7341996664629883,Tau=5
6,7.0,0.7361432997387012,Tau=5
7,8.0,0.7420949604580985,Tau=5
8,9.0,0.745983862203366,Tau=5
9,10.0,0.7493579912639968,Tau=5
10,11.0,0.7521491116889513,Tau=5
11,12.0,0.7585620047644038,Tau=5
12,13.0,0.7604843859376422,Tau=5
13,14.0,0.7588756338350292,Tau=5
14,15.0,0.7689414491103216,Tau=5
15,16.0,0.7674961629872742,Tau=5
16,17.0,0.7685498720437058,Tau=5
17,18.0,0.7686172333383016,Tau=5
18,19.0,0.7672662728423141,Tau=5
19,20.0,0.7699499556854841,Tau=5
0,1.0,0.6907476102602466,Tau=6
1,2.0,0.6676903231008309,Tau=6
2,3.0,0.685733352201557,Tau=6
3,4.0,0.7049432926940583,Tau=6
4,5.0,0.7206694849182775,Tau=6
5,6.0,0.7309795757680446,Tau=6
6,7.0,0.732282163611738,Tau=6
7,8.0,0.7321769256840404,Tau=6
8,9.0,0.7454569722315342,Tau=6
9,10.0,0.7434360622135826,Tau=6
10,11.0,0.744180699961028,Tau=6
11,12.0,0.7439902975718895,Tau=6
12,13.0,0.7471313519371388,Tau=6
13,14.0,0.7582143550460355,Tau=6
14,15.0,0.7599820331302652,Tau=6
15,16.0,0.7601982373017873,Tau=6
16,17.0,0.7653596531164643,Tau=6
17,18.0,0.771890296713557,Tau=6
18,19.0,0.7727775220468838,Tau=6
19,20.0,0.7755789727842782,Tau=6
0,1.0,0.8592073800557746,Tau=1
1,2.0,0.8664126499747843,Tau=1
2,3.0,0.8670743779545081,Tau=1
3,4.0,0.8709669069133583,Tau=1
4,5.0,0.8809369377344779,Tau=1
5,6.0,0.8827611922526042,Tau=1
6,7.0,0.8888244463728876,Tau=1
7,8.0,0.8897944598423576,Tau=1
8,9.0,0.8922797959235466,Tau=1
9,10.0,0.8912278332070606,Tau=1
10,11.0,0.8927882707747308,Tau=1
11,12.0,0.8906357643775009,Tau=1
12,13.0,0.8916812760384926,Tau=1
13,14.0,0.896183774721418,Tau=1
14,15.0,0.895462359093273,Tau=1
15,16.0,0.8953679763023714,Tau=1
16,17.0,0.894919044083613,Tau=1
17,18.0,0.8949679470633248,Tau=1
18,19.0,0.8956214268884761,Tau=1
19,20.0,0.8947742821311221,Tau=1
0,1.0,0.8592073800557746,Tau=2
1,2.0,0.8700803590730709,Tau=2
2,3.0,0.8846954985396124,Tau=2
3,4.0,0.8906467836835685,Tau=2
4,5.0,0.8952165198603012,Tau=2
5,6.0,0.9002711485609473,Tau=2
6,7.0,0.904338426508194,Tau=2
7,8.0,0.9016092017169824,Tau=2
8,9.0,0.9014047505170152,Tau=2
9,10.0,0.9024015338409561,Tau=2
10,11.0,0.9061650828813591,Tau=2
11,12.0,0.9062878231498178,Tau=2
12,13.0,0.9054244239531976,Tau=2
13,14.0,0.9041558823370011,Tau=2
14,15.0,0.9025208705358587,Tau=2
15,16.0,0.902099446934293,Tau=2
16,17.0,0.9016777886919307,Tau=2
17,18.0,0.9007501108952368,Tau=2
18,19.0,0.9004687858491907,Tau=2
19,20.0,0.8996042979731735,Tau=2
0,1.0,0.8592073800557746,Tau=3
1,2.0,0.8520040947170271,Tau=3
2,3.0,0.8843435281842053,Tau=3
3,4.0,0.8863797452018974,Tau=3
4,5.0,0.8946749155456519,Tau=3
5,6.0,0.8975256218636553,Tau=3
6,7.0,0.899884815643395,Tau=3
7,8.0,0.9011369287239951,Tau=3
