,E,rho,taw,City
0,1.0,0.2172757156106775,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
1,2.0,0.13128420151999287,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
2,3.0,0.20616601059111217,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
3,4.0,0.2086642071564247,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
4,5.0,0.24118859533922216,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
5,6.0,0.20906052980220832,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
6,7.0,0.22874721839293666,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
7,8.0,0.2435553346823344,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
8,9.0,0.24930705483348412,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
9,10.0,0.27211564892290435,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
10,11.0,0.24582233973850348,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
11,12.0,0.2629397767238045,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
12,13.0,0.2603228367877299,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
13,14.0,0.256075914609754,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
14,15.0,0.27613851524719474,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
15,16.0,0.27334584978695226,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
16,17.0,0.270673587021618,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
17,18.0,0.2675108486879222,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
18,19.0,0.26371478083909056,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
19,20.0,0.26804111483245235,Tau=1,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
0,1.0,0.2172757156106775,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
1,2.0,0.14407090146598045,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
2,3.0,0.17727156784562073,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
3,4.0,0.1922918983832467,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
4,5.0,0.23633272295123137,Tau=2,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
